target,covariate,coef,std_err,p_value,conf_low,conf_high,ame,ame_se,ame_z,n_obs,converged,pseudo_r2
target_ordered_24h,const,-6.474875107422128,0.053462269376062896,0.0,-6.57965922993099,-6.370090984913266,,,,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_first_session,-0.07369535516277724,0.013016808600453721,1.5000893285730238e-08,-0.09920783121331776,-0.04818287911223672,-0.0032418787547719053,0.0005726426584117185,-5.661259613043113,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_first_session,0.17099714384761613,0.016142654329864378,3.215559436484871e-26,0.1393581227462024,0.20263616494902986,0.007522210952613769,0.000709259935475646,10.605718124440797,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_second_session,0.031199965253208554,0.006779352010372938,4.180421623950682e-06,0.017912679474358387,0.04448725103205872,0.0013724949731259402,0.0002980760024934818,4.604513485301298,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_second_session,0.1904233692306953,0.007652889931715236,1.1497127576953448e-136,0.17542398058688424,0.20542275787450637,0.00837677590068808,0.00033416763940903496,25.067585585193545,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_1h,0.010585758142721929,0.0067187546909294555,0.11512871654171049,-0.0025827590724593463,0.023754275357903205,0.0004656703851950582,0.0002955472692364969,1.5756206660208687,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_1h,0.007571133902811485,0.007073369254363115,0.28445205600751755,-0.0062924150850931565,0.021434682890716126,0.00033305624343401424,0.0003111585751669253,1.070374625720476,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_4h,-0.001820752047897175,0.008823807951013313,0.8365211292344444,-0.019115097838381438,0.01547359374258709,-8.009537872112342e-05,0.000388157950276851,-0.20634738684083614,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_4h,-0.010568343347514695,0.009296210257418624,0.2556033936809019,-0.028788580644767022,0.007651893949737632,-0.00046490430361278626,0.0004089542304915005,-1.136812554925871,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_12h,0.04636425801877046,0.010434435650005458,8.85527945212097e-06,0.025913139945758976,0.06681537609178195,0.0020395763439693456,0.0004590921883068575,4.4426291623287035,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_12h,-0.08658818644115795,0.011138414409136835,7.614541583421316e-15,-0.10841907752794813,-0.06475729535436778,-0.003809037915842702,0.0004899478061284386,-7.774374878707328,746586,True,0.5288186915298847
target_ordered_24h,had_nv_imp_24h,0.960286355476932,0.014687616773540338,0.0,0.9314991555820665,0.9890735553717974,0.04224325844447714,0.0006244307199475697,67.6508331429051,746586,True,0.5288186915298847
target_ordered_24h,had_non_nv_imp_24h,2.0011048078249716,0.03577021243529366,0.0,1.9309964797324493,2.071213135917494,0.08802914577490721,0.0015846231798274581,55.55210026934749,746586,True,0.5288186915298847
target_ordered_24h,minutes_to_first_nv_impression,-0.0024761814440322056,0.02647452497495667,0.9254819437797505,-0.054365296902753456,0.04941293401468904,-0.00010892789645385374,0.0011646180761661316,-0.09353100272360472,746586,True,0.5288186915298847
target_ordered_24h,minutes_to_first_non_nv_impression,0.02511778070314618,0.06947216822300012,0.7176870619710709,-0.11104516694184205,0.16128072834813442,0.001104938017439229,0.003056188372578103,0.3615412018949403,746586,True,0.5288186915298847
target_ordered_month1,const,-2.5635339529751016,0.019705762595878615,0.0,-2.60215653795092,-2.524911367999283,,,,746586,True,0.43539842389222194
target_ordered_month1,had_nv_imp_first_session,0.08701243982530936,0.0077668915400743305,3.9418193913948173e-29,0.07178961213493484,0.10223526751568388,0.010583054047236501,0.0009443377864248851,11.206852250720884,746586,True,0.43539842389222194
target_ordered_month1,had_non_nv_imp_first_session,0.20244045642941544,0.009466495505948021,1.845169326773871e-101,0.18388646617794704,0.22099444668088383,0.02462220684799038,0.0011489943207300243,21.429354700679834,746586,True,0.43539842389222194
target_ordered_month1,had_nv_imp_second_session,0.1512645099541774,0.004306524838781666,2.850240359439771e-270,0.14282387637163818,0.1597051435367166,0.01839783469437172,0.0005211597250674675,35.30172000913924,746586,True,0.43539842389222194
target_ordered_month1,had_non_nv_imp_second_session,0.45622810274688597,0.004457761293118542,0.0,0.44749105116069693,0.464965154333075,0.05548961365661431,0.0005181132116571609,107.09939914315902,746586,True,0.43539842389222194
target_ordered_month1,had_nv_imp_1h,0.004934057113876468,0.0061602175107780925,0.42315768852997826,-0.007139747344181576,0.017007861571934513,0.0006001141125691931,0.0007492446798620748,0.8009587904977391,746586,True,0.43539842389222194
target_ordered_month1,had_non_nv_imp_1h,0.011671448979486344,0.006295260852206737,0.063738356418674,-0.0006670355641237892,0.024009933523096477,0.0014195622557767616,0.0007656652056892909,1.8540247685655236,746586,True,0.43539842389222194
target_ordered_month1,had_nv_imp_4h,-0.009546350524439534,0.007653367401947218,0.21227289345945555,-0.024546674992708965,0.005453973943829897,-0.0011610931006759992,0.0009308516199609867,-1.2473449857933987,746586,True,0.43539842389222194
target_ordered_month1,had_non_nv_imp_4h,-0.01987058163119748,0.007832888316208883,0.01118663355128024,-0.03522276062589148,-0.004518402636503483,-0.0024167974116720225,0.0009526647497418367,-2.5368813240197583,746586,True,0.43539842389222194
target_ordered_month1,had_nv_imp_12h,-0.0437141108692636,0.00833398175804799,1.5604079037008452e-07,-0.06004841496285146,-0.027379806775675735,-0.005316812157910848,0.0010134974335153472,-5.246004560139162,746586,True,0.43539842389222194
